Duration (min),Age,Weight (kg),Calories Burned,Exercise_Boxing,Exercise_Cycling,Exercise_Dancing,Exercise_Hiking,Exercise_Jump Rope,Exercise_Pilates,Exercise_Rowing,Exercise_Running,Exercise_Swimming,Exercise_Walking,Exercise_Weight Training,Exercise_Yoga,Intensity_High,Intensity_Low,Intensity_Medium
20,48,78,106,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
65,48,86,766,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,35,88,144,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,41,63,725,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,51,71,267,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10,44,89,122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,46,55,209,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
72,33,81,466,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
86,42,59,869,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,42,60,973,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,45,79,81,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
81,41,95,923,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37,51,98,621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,39,51,346,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,23,86,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,27,51,229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
86,46,81,1094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,25,60,901,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,38,88,1611,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,31,61,930,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46,21,56,397,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,49,66,428,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
75,20,50,535,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,20,51,158,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,50,72,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,40,60,617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
86,20,50,294,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,31,56,354,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,51,66,293,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
73,42,100,1251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,58,95,179,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,36,73,170,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,38,87,214,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,50,50,84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
44,38,68,341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
73,56,61,763,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,44,89,701,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,48,93,372,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,35,86,176,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
84,28,79,455,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,19,55,113,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,23,75,684,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
73,35,73,548,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
87,18,69,343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31,31,58,277,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56,56,75,792,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,52,85,401,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,45,53,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,23,85,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,42,61,197,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
90,44,99,1272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,55,81,121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
69,42,92,798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,18,96,148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,19,94,476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,56,92,399,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,46,76,338,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,45,79,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,57,76,145,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
63,52,67,506,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,25,91,390,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,21,68,730,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,38,54,267,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,20,70,96,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
77,39,86,567,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
32,44,69,126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
63,28,98,705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,31,73,929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,55,97,369,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,34,54,194,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,27,69,301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63,35,80,288,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,43,98,371,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
66,30,92,624,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
72,30,51,503,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
44,55,71,142,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
56,45,79,505,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,29,69,272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,34,58,339,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,29,55,212,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81,38,89,988,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,24,70,336,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
32,30,83,379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,38,57,93,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
89,57,54,494,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,25,75,565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,53,63,207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,45,97,399,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,52,97,205,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
83,50,100,1067,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,44,97,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
40,52,98,604,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
90,53,84,1036,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82,34,58,611,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,21,52,196,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64,58,81,799,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60,39,89,549,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81,31,53,588,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
89,42,57,521,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,56,95,501,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,30,51,183,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
61,57,92,641,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72,44,76,656,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51,60,67,585,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,26,56,475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,40,71,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,53,74,449,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,20,71,278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,29,98,658,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68,54,72,1007,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,52,77,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,29,52,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,44,61,680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,54,81,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,59,76,152,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14,40,99,118,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,31,69,170,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,45,96,236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
43,21,62,411,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
69,33,85,1206,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
56,40,67,536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,41,63,270,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21,19,56,181,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,41,63,295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,38,51,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
53,45,82,819,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,24,75,663,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,30,79,560,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,37,53,351,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
72,52,74,822,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,53,63,340,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
66,50,93,701,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44,51,59,237,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,59,55,143,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85,30,94,1027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,26,94,971,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
59,22,77,584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,44,78,497,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20,23,98,201,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,46,96,1069,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,30,51,39,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
